api,type,feature,action,label,description
transaction_accessmanager_audits,edg,access manager,audit permissions,,
transaction_accessmanager_clienterrors,edg,access manager,client error,,
transaction_accessmanager_grants,rep,access manager,grant permissions,,
transaction_apns_removed,rep,push,unregister apns device on channel,,
transaction_apns_sent,edg,push,apns sent,,
transaction_fcm_removed,rep,push,unregister fcm device on channel,,
transaction_fcm_sent,edg,push,fcm sent,,
transaction_files_clienterrors,edg,files,client error,,
transaction_files_delete_file,edg,files,delet file,,
transaction_files_generate_url,edg,files,generate file url,,
transaction_files_get_all_files,edg,files,get all files,,
transaction_files_get_file,edg,files,get file,,
transaction_files_publish,rep,files,publish file url,,
transaction_files_unauthorized,edg,files,unauthorized,,
transaction_fire,fre,fire,fire message,,
transaction_fire_client,fre,fire,client fire,,
transaction_fire_eh,fre,fire,functions fire,,
transaction_history,edg,history,fetch messages,,
transaction_history_clienterrors,edg,history,client errors,,
transaction_history_messages_count,edg,history counts,message count,,
transaction_history_with_actions,edg,history with actions,fetch messages with actions,,
transaction_history_with_actions_clienterrors,edg,history with actions,client error,,
transaction_history_with_actions_unauthorized,edg,history with actions,unauthorized,,
transaction_internal_publish_objects,rep,publish,object events,,
transaction_kv_read,edg,functions,kv read,,
transaction_kv_write,rep,functions,kv write,,
transaction_message_actions_add,ma,message actions,add message action,,
transaction_message_actions_clienterrors,edg,message actions,client error,,
transaction_message_actions_get,edg,message actions,get message actions,,
transaction_message_actions_remove,ma,message actions,remove message action,,
transaction_message_actions_subscribe,ma,message actions,receive message action,,
transaction_message_actions_unauthorized,ma,message actions,unauthorized,,
transaction_misfire_client,rep,functions,client misfire,,
transaction_misfire_eh,rep,funcitons,fuctions misfire,,
transaction_objects_clienterrors,edg,objects,client error,,
transaction_objects_create_space,rep,objects,create space,,
transaction_objects_create_user,rep,objects,create user,,
transaction_objects_delete_space,rep,objects,delete space,,
transaction_objects_delete_user,rep,objects,delete user,,
transaction_objects_get_all_spaces,edg,objects,get all spaces,,
transaction_objects_get_all_users,edg,objects,get all users,,
transaction_objects_get_space,edg,objects,get space,,
transaction_objects_get_space_user_memberships,edg,objects,get space members,,
transaction_objects_get_user,edg,objects,get user,,
transaction_objects_get_user_space_memberships,edg,objects,get user memberships,,
transaction_objects_reads,edg,objects,object reads,,
transaction_objects_unauthorized,edg,objects,unauthorized,,
transaction_objects_update_space,rep,objects,update space,,
transaction_objects_update_space_user_memberships,rep,objects,update space members,,
transaction_objects_update_user,rep,objects,update user,,
transaction_objects_update_user_space_memberships,rep,objects,update user memberships,,
transaction_objects_writes,rep,objects,object writes,,
transaction_presence_clienterrors,edg,presence,client error,,
transaction_presence_getuserstate,edg,presence,get state,,
transaction_presence_heartbeats,edg,presence,explicit heartbeats,,
transaction_presence_herenow,edg,presence,here now,,
transaction_presence_herenow_global,edg,presence,global here now,,
transaction_presence_leave,edg,presence,client leave,,
transaction_presence_setuserstate,rep,presence,set state,,
transaction_presence_wherenow,edg,presence,where now,,
transaction_publish,rep,publish,message,,
transaction_publish_clienterrors,edg,publish,client errors,,
transaction_publish_unauthorized,edg,publish,unauthorized,,
transaction_push_device_clienterrors,edg,push,client error,,
transaction_push_device_reads,edg,push,list devices for channel,,
transaction_push_device_writes,rep,push,register devices for channel,,
transaction_signal,sig,signal,signal,,
transaction_signal_clienterrors,sig,signal,client error,,
transaction_signal_unauthorized,sig,signal,unauthorized,,
transaction_streamcontroller_clienterrors,edg,channel groups,client errors,,
transaction_streamcontroller_reads,edg,channel groups,list channels,,
transaction_streamcontroller_writes,rep,channel groups,add/remove channels,,
transaction_subscribe,edg,subscribe,receive message,,
transaction_subscribe_clientclosedconnection,edg,subscribe,client disconnect,,
transaction_subscribe_clienterrors,edg,subscribe,client error,,
transaction_subscribe_files,edg,subscribe,receive file url,,
transaction_subscribe_heartbeats,edg,subscribe,init,,
transaction_subscribe_objects,edg,subscribe,recieve object event,,
transaction_subscribe_signal,sig,subscribe,receive signal,,
transaction_subscribe_streaming,edg,subscribe,streaming,,
transaction_subscribe_timeouts,edg,subscribe,long poll expire,,
transaction_subscribe_unauthorized,edg,subscribe,unauthorized,,